s_ph,s_temp,s_do,s_turbidity,index_heure
-0.01862,-0.067,0.005733,6.062,213
0.05936,0.06113,0.267,-0.687,214
0.004997,0.03366,-0.257,-4.65,215
-0.05936,-0.07886,0.04044,4.543,216
0.02354,0.0475,0.1361,0.297,217
0.0612,0.04227,-0.1484,-3.97,218
-0.09076,-0.0624,0.05032,2.934,219
-0.005657,0.04266,0.0263,0.707,220
0.1268,0.006397,-0.02092,-2.973,221
-0.0845,-0.02327,0.04205,2.14,222
-0.07446,0.05484,-0.0886,0.7485,223
0.1337,-0.05075,-0.01533,-2.436,224
-0.01379,0.001075,0.1444,2.086,225
-0.1436,0.06616,-0.08966,-1.024,226
0.1338,-0.0828,-0.1148,-0.67,227
0.0375,0.002567,0.2104,1.684,228
-0.1729,0.08264,-0.0428,-1.546,229
0.137,-0.08984,-0.1759,0.5625,230
-0.000321,-0.00941,0.1776,0.871,231
-0.103,0.0679,0.008545,-1.827,232
0.1461,-0.06433,-0.1443,1.753,233
-0.1312,-0.009415,0.0876,-0.815,234
0.01354,0.0721,0.0883,-0.6543,235
0.1841,-0.0933,-0.1233,1.711,236
-0.26,-0.00957,-0.01819,-0.9365,237
0.0901,0.1378,0.1212,-0.843,238
0.1622,-0.10895,-0.135,1.416,239
-0.227,-0.02579,0.0941,0.4463,240
0.0599,0.137,0.03793,-2.275,241
0.10443,-0.1031,-0.2229,1.311,242
-0.10144,-0.0218,0.2622,1.36,243
0.02145,0.151,-0.05252,-3.236,244
0.00344,-0.1158,-0.1957,2.377,245
0.011055,-0.015335,0.2465,1.398,246
0.003359,0.1292,-0.1299,-4.703,247
-0.04282,-0.09436,-0.001869,4.125,248
0.04803,-0.0301,0.03796,-0.2484,249
0.002792,0.0973,-0.0757,-3.986,250
-0.03876,-0.0559,0.2278,5.11,251
0.002914,-0.0788,-0.294,-1.923,252
0.02945,0.1086,0.02328,-3.223,253
0.01208,-0.007698,0.4011,5.066,254
-0.03497,-0.1208,-0.4927,-1.539,255
-0.03796,0.09015,0.0893,-2.184,256
0.08514,0.0366,0.39,2.61,257
0.01193,-0.1345,-0.418,-1.333,258
-0.1476,0.0697,0.08215,-0.03036,259
0.136,0.04575,0.2007,1.287,260
0.04535,-0.07025,-0.2556,-1.73,261
-0.2251,0.04004,0.1743,0.1057,262
0.1798,0.02048,-0.10114,2.746,263
0.0674,-0.01468,-0.01678,-3.389,264
-0.2369,0.01034,0.2067,-0.1458,265
0.1385,0.01991,-0.2961,4.797,266
0.11224,-0.03897,0.09906,-5.45,267
-0.2065,0.02216,0.2969,-0.03665,268
0.03894,0.04538,-0.487,6.37,269
0.1748,-0.0951,0.1837,-6.152,270
-0.1584,0.0414,0.309,0.0247,271
-0.10986,0.0785,-0.4512,5.44,272
0.3298,-0.1345,0.141,-4.914,273
-0.1909,0.04724,0.2915,0.1337,274
-0.1942,0.084,-0.42,2.244,275
0.3906,-0.1244,0.142,-0.1879,276
-0.1741,0.0079,0.2489,-1.697,277
-0.2058,0.11383,-0.3928,-0.1433,278
0.3003,-0.08936,0.2438,3.402,279
-0.04034,-0.0764,0.002146,-3.334,280
-0.2191,0.1464,-0.2186,-0.723,281
0.1846,-0.0472,0.3196,4.332,282
