Lat,Lon,Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
-18.000000,49.799999,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",REU,LE MARIUS 3,2025-01-28T16:00:00Z,2025-05-31T23:00:00Z,DRIFTING_LONGLINES,FISHING,660001500,8589480,FZTW,2022-03-08T06:30:13Z,2026-06-08T12:03:37Z,9.15
-21.600000,48.799999,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",REU,PARVATI,2025-04-11T11:00:00Z,2025-05-12T09:00:00Z,DRIFTING_LONGLINES,FISHING,660001400,8589296,FZSC,2024-01-05T17:05:09Z,2026-06-09T23:57:17Z,1.09
-21.500000,50.900002,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",REU,CAP CLOE,2025-01-11T18:00:00Z,2025-05-16T15:00:00Z,DRIFTING_LONGLINES,FISHING,660007600,9184366,FOCU,2022-03-07T10:48:33Z,2026-06-01T21:34:33Z,1.48
-14.800000,46.400002,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",KOR,NO.211DONG WON,2025-01-16T18:00:00Z,2025-03-14T22:00:00Z,DRIFTING_LONGLINES,FISHING,440782000,8821541,6LCW,2012-01-01T00:00:11Z,2026-06-09T23:59:31Z,3.01
-20.400000,51.200001,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",REU,LE MARIUS 3,2025-01-28T16:00:00Z,2025-05-31T23:00:00Z,DRIFTING_LONGLINES,FISHING,660001500,8589480,FZTW,2022-03-08T06:30:13Z,2026-06-08T12:03:37Z,1.10
-20.000000,44.400002,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",MDG,UNIMA 3,2025-03-14T07:00:00Z,2025-05-30T18:00:00Z,TRAWLERS,FISHING,647361230,,5RTM,2019-02-21T17:57:50Z,2026-06-08T10:47:26Z,90.56
-20.400000,50.900002,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",REU,CAP SUD,2025-05-17T12:00:00Z,2025-05-26T09:00:00Z,DRIFTING_LONGLINES,FISHING,660007400,8589454,FOSW,2022-03-22T10:27:49Z,2026-06-09T23:57:36Z,1.01
-15.100000,44.599998,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",KOR,NO.211DONG WON,2025-01-16T18:00:00Z,2025-03-14T22:00:00Z,DRIFTING_LONGLINES,FISHING,440782000,8821541,6LCW,2012-01-01T00:00:11Z,2026-06-09T23:59:31Z,1.98
-20.800000,49.200001,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",REU,SAINTE-MARIE,2025-02-06T19:00:00Z,2025-05-27T09:00:00Z,DRIFTING_LONGLINES,FISHING,660006100,8589727,FQTW,2022-01-17T05:49:05Z,2026-06-09T23:57:54Z,0.62
-21.200000,49.500000,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",REU,SARASWATI,2025-05-02T11:00:00Z,2025-05-31T23:00:00Z,DRIFTING_LONGLINES,FISHING,660003100,,FNLG,2012-01-01T05:01:47Z,2026-06-09T23:59:58Z,8.46
