Lat,Lon,Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
-20.100000,51.200001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE MARIUS 3,2025-01-28T16:00:00Z,2025-10-29T08:00:00Z,DRIFTING_LONGLINES,FISHING,660001500,8589480,FZTW,2022-03-08T06:30:13Z,2026-06-08T12:03:37Z,2.02
-21.200000,49.200001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,CAP CLOE,2025-01-11T18:00:00Z,2025-11-17T04:00:00Z,DRIFTING_LONGLINES,FISHING,660007600,9184366,FOCU,2022-03-07T10:48:33Z,2026-06-01T21:34:33Z,2.05
-18.700000,50.599998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,CAP SUD,2025-05-17T12:00:00Z,2025-10-29T09:00:00Z,DRIFTING_LONGLINES,FISHING,660007400,8589454,FOSW,2022-03-22T10:27:49Z,2026-06-09T23:57:36Z,2.94
-19.200000,49.500000,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE BIGOUDEN,2025-04-03T17:00:00Z,2025-11-04T10:00:00Z,DRIFTING_LONGLINES,FISHING,660002700,9096569,FMKZ,2020-10-13T06:09:11Z,2026-06-09T23:59:19Z,6.74
-18.700000,51.000000,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,CAP SUD,2025-05-17T12:00:00Z,2025-10-29T09:00:00Z,DRIFTING_LONGLINES,FISHING,660007400,8589454,FOSW,2022-03-22T10:27:49Z,2026-06-09T23:57:36Z,0.72
-17.300000,43.900002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",,FANJAVA 2,2025-02-28T17:00:00Z,2025-11-30T07:00:00Z,TRAWLERS,FISHING,200036207,,,2020-02-10T03:01:24Z,2026-06-06T11:08:11Z,0.00
-22.800000,50.000000,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,CAP CLOE,2025-01-11T18:00:00Z,2025-11-17T04:00:00Z,DRIFTING_LONGLINES,FISHING,660007600,9184366,FOCU,2022-03-07T10:48:33Z,2026-06-01T21:34:33Z,0.87
-21.400000,48.700001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,SAINTE-MARIE,2025-02-06T19:00:00Z,2025-10-13T21:00:00Z,DRIFTING_LONGLINES,FISHING,660006100,8589727,FQTW,2022-01-17T05:49:05Z,2026-06-09T23:57:54Z,7.55
-19.200000,49.599998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,PARVATI,2025-04-11T11:00:00Z,2025-11-12T09:00:00Z,DRIFTING_LONGLINES,FISHING,660001400,8589296,FZSC,2024-01-05T17:05:09Z,2026-06-09T23:57:17Z,9.85
-20.000000,51.500000,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,SARASWATI,2025-05-02T11:00:00Z,2025-10-31T12:00:00Z,DRIFTING_LONGLINES,FISHING,660003100,,FNLG,2012-01-01T05:01:47Z,2026-06-09T23:59:58Z,1.07
